OID_,Join_Count,Survey_to_Reef_Dist,TARGET_FID,SPECIES_CD,LIFE_STAGE,PRES,PRES2,N,SOURCE,LON_M,LAT_M,Habitat,Mangrove_Dist,Depth,StDev_Depth,Slope,Curvature,Plan_Curve,BPI_Fine,BPI_Broad,Rugosity,Mean_Sum_Temp,Mean_Sum_DO,Mean_Sum_Sal,Mean_Win_Temp,Mean_Win_DO,Mean_Win_Sal,OBJECTID_1,Source_1,Zone_,GeoForm,GeoformDet,GeoformD_1,BioCover,BioCoverDe,PercentBio,PercentCor,CMECS_Geo,CMECS_Bio,ClassLv0,ClassLv1,ClassLv2,ClassLv3,ClassLv4,Shape_Leng,AREA,PERIMETER,PA_Ratio,NEAR_FID,NEAR_DIST,Patch_ID,Coral_Reef_and_Hardbottom,Not_Classified,Seagrass,Unconsolidated_Sediment,Reef_Dist
11,1,0.000000000000000,69,LUT GRIS,SUBADULT,1,PRESENCE,2.000000000000000,REEF VISUAL CENSUS,202725.379899999999907,38623.810250000002270,1,6532.863769999999931,-5.720886230000000,0.064398438000000,0.901890337000000,-0.075506210000000,-0.047554225000000,-9,64,1.000001550000000,30.459613800000000,6.121923923000000,35.822837829999997,23.775363920000000,6.886845589000000,36.032699579999999,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,1002.730724730000020,62652.347813299944391,1002.535676248926052,62.4938835570612,1080,947.994408562875378,1010,69696.525620063417591,,365483.838912120787427,350215.860620004357770,450.6244507
12,1,0.000000000000000,71,LUT GRIS,SUBADULT,1,PRESENCE,11.500000000000000,REEF VISUAL CENSUS,202939.928500000009080,38626.069250000000466,1,6621.919434000000365,-5.694669247000000,0.054841753000000,0.769192398000000,0.036495209000000,0.040556006000000,-9,64,1.000000477000000,30.454893110000000,6.123247147000000,35.842857360000004,23.783897400000001,6.882787704000000,36.041137700000000,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,1002.730724730000020,62652.347813299944391,1002.535676248926052,62.4938835570612,1080,947.994408562875378,1010,96295.852949596592225,,437299.280869590060320,251801.265535083541181,278.7005920
13,1,0.000000000000000,72,LUT GRIS,SUBADULT,1,PRESENCE,8.000000000000000,REEF VISUAL CENSUS,202920.701700000005076,38618.311880000001111,1,6623.635253999999804,-5.747258663000000,0.040981181000000,0.564775229000000,0.151615143000000,0.026214119000000,-9,64,1.000005364000000,30.455032350000000,6.123140335000000,35.840614320000000,23.783376690000001,6.883100510000000,36.040077210000000,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,1002.730724730000020,62652.347813299944391,1002.535676248926052,62.4938835570612,1080,947.994408562875378,1010,93137.491519836883526,,426053.047726736171171,266205.305925039690919,296.9848633
14,1,0.000000000000000,81,LUT GRIS,SUBADULT,1,PRESENCE,1.000000000000000,REEF VISUAL CENSUS,271011.472300000023097,89310.042100000006030,1,6878.975585999999566,-6.536180496000000,0.093056403000000,1.227626562000000,0.708225250000000,0.377901435000000,605,-8,1.000068545000000,30.239065170000000,6.169476986000000,35.607238770000002,23.553075790000001,6.890999794000000,36.453571320000002,0,Keys NOAA,Lagoon,Coral Reef and Hardbottom,Aggregated Patch Reefs, ,Algae, ,50%-90%,10%-50%,G_B_S_AP,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Aggregated Patch Reef,"Aggregated Patch Reef, Algae (Discontinuous)",966.413030081999977,43144.432238987923483,966.507519176048731,44.6395205241328,5159,45.018744348399700,5160,275229.659523039008491,,232878.279179376811953,277288.443238469015341,509.4112549
15,1,0.000000000000000,82,LUT GRIS,SUBADULT,1,PRESENCE,7.500000000000000,REEF VISUAL CENSUS,271428.652799999981653,90709.125220000001718,1,6719.076659999999720,-5.851366520000000,0.726473629000000,10.170453070000001,0.389720917000000,0.268972248000000,605,64,1.000096321000000,30.297599790000000,6.157736301000000,35.676223749999998,23.529113769999999,6.891281605000000,36.449069979999997,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,328.870057610000003,6658.536525408819216,328.869441654715104,20.2467474384553,5155,2.245175730193617,5156,287616.162959394161589,,59976.701382181199733,437803.897972017759457,1446.3350830
16,1,0.000000000000000,83,LUT GRIS,SUBADULT,1,PRESENCE,5.125000000000000,REEF VISUAL CENSUS,271441.533100000000559,90752.395999999993364,1,6712.508300999999847,-5.612519264000000,0.456678510000000,6.312660694000000,2.252063751000000,1.311053634000000,605,64,1.000826836000000,30.299245830000000,6.157372475000000,35.678550719999997,23.527967449999998,6.891351700000000,36.448623660000003,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,328.870057610000003,6658.536525408819216,328.869441654715104,20.2467474384553,5155,2.245175730193617,5156,277498.629730316228233,,72013.202412364262273,435883.847036057559308,1482.1929932
17,1,0.000000000000000,84,LUT GRIS,SUBADULT,1,PRESENCE,2.625000000000000,REEF VISUAL CENSUS,270812.514000000024680,87625.199229999998352,1,7381.925780999999915,-4.089336872000000,0.194970429000000,2.500020266000000,0.854868889000000,0.178223640000000,1220,282,1.000282764000000,30.148603439999999,6.184497356000000,35.584339139999997,23.585720060000000,6.888387203000000,36.438865659999998,0,Keys NOAA,Lagoon,Coral Reef and Hardbottom,Individual Patch Reef, ,Unknown, , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,832.654769962000046,46844.922568818888976,832.457795516055057,56.2730300816979,5118,10.451215972422638,5651,146046.050322945840890,,301578.025344472029246,337771.897124041803181,1646.3099365
18,1,0.000000000000000,87,LUT GRIS,SUBADULT,1,PRESENCE,0.500000000000000,REEF VISUAL CENSUS,270882.346299999975599,87771.787870000000112,1,7391.864746000000196,-8.020472527000001,0.527820289000000,7.237469196000000,1.044786453000000,-0.384114981000000,-9,-8,1.000920296000000,30.155143740000000,6.183476448000000,35.582683560000000,23.588029859999999,6.888502598000000,36.442062380000003,0,Keys NOAA,Lagoon,Coral Reef and Hardbottom,Individual Patch Reef, ,Unknown, , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,832.654769962000046,46844.922568818888976,832.457795516055057,56.2730300816979,5118,10.451215972422638,5651,117414.092052211490227,,287241.331460248562507,380740.748202576651238,1472.3149414
19,1,0.000000000000000,88,LUT GRIS,SUBADULT,1,PRESENCE,5.000000000000000,REEF VISUAL CENSUS,270246.705499999981839,86459.115200000000186,1,7426.032226999999693,-3.064422607000000,0.182110295000000,2.507651806000000,-0.710266113000000,-0.293586016000000,1220,282,1.000127316000000,30.092805859999999,6.193322182000000,35.628883360000003,23.567705149999998,6.885124207000000,36.406936649999999,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,1439.316522509999913,78229.624905270655290,1439.225036756253530,54.3553807829704,5655,15.224072108170828,5122,186577.516013998247217,,224201.977331433998188,374616.745987898262683,1034.7056885
20,1,0.000000000000000,91,LUT GRIS,SUBADULT,1,PRESENCE,4.125000000000000,REEF VISUAL CENSUS,270865.606000000028871,87694.157080000004498,1,7402.930664000000434,-5.618484020000000,0.393430799000000,5.415030479000000,-1.130996704000000,-0.691037476000000,605,137,1.000328779000000,30.151298520000001,6.184062004000000,35.583236690000000,23.588087080000001,6.888400078000000,36.440517430000000,0,Keys NOAA,Lagoon,Coral Reef and Hardbottom,Individual Patch Reef, ,Unknown, , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,832.654769962000046,46844.922568818888976,832.457795516055057,56.2730300816979,5118,10.451215972422638,5651,127253.165970972608193,,307428.895027502556331,350714.055940108431969,1555.5992432
21,1,3.263136243292281,126,LUT GRIS,SUBADULT,1,PRESENCE,0.500000000000000,REEF VISUAL CENSUS,160383.604200000001583,31388.477240000000165,8,665.710693399999968,-2.944586277000000,0.024455009000000,0.337481529000000,0.093277931000000,0.018836586000000,-9,64,1.000002146000000,30.434795380000001,6.102530479000000,35.721652980000002,24.736280440000002,6.869513512000000,36.044746400000001,0,Unified Patch Reef Map v1.3,Lagoon,Coral Reef and Hardbottom,Individual Patch Reef, ,Algae, ,50%-90%,10%-50%,G_B_S_P_I,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,"Individual Patch Reef, Algae (Discontinuous)",255.569631100000009,4446.214851694732715,255.568367105405628,17.3973598612889,85,151.782536162957769,84,523021.932284715585411,,260308.825714606617112,2065.653282694699556,7459.8632812
22,1,0.000000000000000,127,LUT GRIS,SUBADULT,1,PRESENCE,19.500000000000000,REEF VISUAL CENSUS,283455.826999999990221,123593.640299999999115,1,2245.918944999999894,-5.537410259000000,0.074257143000000,1.016446114000000,0.235290527000000,-0.031812660000000,-9,64,1.000030041000000,30.464260100000001,6.018464088000000,35.510974879999999,23.111064910000000,6.933893204000000,36.531082150000003,0,Biscayne Bay NPS, ,Patch Reefs,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,175.160274437999988,2246.246577527124373,175.148889572150807,12.8247834343352,7060,112.108351393725940,7223,4833.229764145504305,,780563.172416249173693,,4413.4775391
23,1,0.000000000000000,128,LUT GRIS,SUBADULT,1,PRESENCE,1.000000000000000,REEF VISUAL CENSUS,283425.714199999987613,123583.482300000003306,1,2220.061035000000174,-5.276779652000000,0.007345326000000,0.094748132000000,-0.000892639000000,0.016712112000000,-9,64,1.000000715000000,30.463882450000000,6.017970562000000,35.510974879999999,23.108039860000002,6.933979511000000,36.528381349999997,0,Biscayne Bay NPS, ,Patch Reefs,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,175.160274437999988,2246.246577527124373,175.148889572150807,12.8247834343352,7060,112.108351393725940,7223,5049.816157956366624,,780346.653660769341514,,4447.6196289
24,1,2.982265057456885,129,LUT GRIS,SUBADULT,1,PRESENCE,16.000000000000000,REEF VISUAL CENSUS,283181.773199999995995,126422.490699999994831,3,1053.406250000000000,-5.207861423000000,0.010054544000000,0.138629481000000,0.001337051000000,-0.013493001000000,-9,-8,1.000000358000000,30.432914730000000,6.009993076000000,35.516147609999997,22.996622089999999,6.946048260000000,36.554077149999998,0,Biscayne Bay NPS, ,Patch Reefs,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,113.103618943000001,942.712817269896163,113.129987661669432,8.3330055695684,6112,913.783318257537758,7756,942.712817254927586,,784453.441404876764864,,4254.5332031
25,1,0.000000000000000,130,LUT GRIS,SUBADULT,1,PRESENCE,7.367000000000000,REEF VISUAL CENSUS,283177.613200000021607,126444.621899999998277,1,1043.050903000000062,-5.181871414000000,0.005010534000000,0.067692757000000,-0.019876480000000,0.007379612000000,-9,-8,1.000000358000000,30.432651520000000,6.009966850000000,35.516494750000000,22.995798109999999,6.946233749000000,36.554073330000001,0,Biscayne Bay NPS, ,Patch Reefs,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,113.103618943000001,942.712817269896163,113.129987661669432,8.3330055695684,6112,913.783318257537758,7756,942.712817254927586,,784454.260598733089864,,4264.8886719
26,1,0.000000000000000,139,LUT GRIS,SUBADULT,1,PRESENCE,1.000000000000000,REEF VISUAL CENSUS,227444.328600000008009,55885.550819999996747,1,2554.263915999999881,-4.272677422000000,0.041062612000000,0.573117375000000,0.060058594000000,0.032671895000000,-9,64,1.000000715000000,30.580356599999998,6.088869095000000,35.534473419999998,24.185703279999998,6.902842045000000,36.105148319999998,0,Keys NOAA,Lagoon,Coral Reef and Hardbottom,Aggregated Patch Reefs, ,Algae, ,50%-90%,10%-50%,G_B_S_AP,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Aggregated Patch Reef,"Aggregated Patch Reef, Algae (Discontinuous)",1600.428799230000095,109683.910949237062596,1600.527159403725136,68.5298654913795,1442,3819.749569566061382,1140,677296.152101050363854,,108100.678524617294897,,7511.9594727
27,1,0.000000000000000,140,LUT GRIS,SUBADULT,1,PRESENCE,0.500000000000000,REEF VISUAL CENSUS,160383.582099999999627,31380.723870000001625,1,675.710693399999968,-3.026017904000000,0.026397776000000,0.364885569000000,-0.081542969000000,0.001758535000000,-9,64,1.000002146000000,30.434720989999999,6.102575779000000,35.720996860000000,24.736301420000000,6.869566441000000,36.045127870000002,0,Unified Patch Reef Map v1.3,Lagoon,Coral Reef and Hardbottom,Individual Patch Reef, ,Algae, ,50%-90%,10%-50%,G_B_S_P_I,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,"Individual Patch Reef, Algae (Discontinuous)",255.569631100000009,4446.214851694732715,255.568367105405628,17.3973598612889,85,151.782536162957769,84,520466.031063439557329,,262206.141430173651315,2723.843598748743261,7449.8632812
28,1,0.000000000000000,141,LUT GRIS,SUBADULT,1,PRESENCE,11.000000000000000,REEF VISUAL CENSUS,281492.096799999999348,122812.721900000004098,1,621.629516599999988,-5.134534836000000,0.017117878000000,0.206875995000000,0.171333313000000,0.060658902000000,-9,-8,1.000005960000000,30.439510349999999,5.985534191000000,35.510974879999999,22.926635739999998,6.935686111000000,36.240783690000001,0,Biscayne Bay NPS, ,Patch Reefs,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,233.867776749999990,3686.109102640936271,233.808735130229451,15.7654892602186,7158,87.123477358243832,6916,4560.970738838063880,,778785.600673823617399,2050.429582188958648,6698.6352539
29,1,3.503658729023390,142,LUT GRIS,SUBADULT,1,PRESENCE,21.000000000000000,REEF VISUAL CENSUS,160236.509599999990314,31293.639979999999923,8,717.071044899999947,-2.387127161000000,0.047282096000000,0.631301582000000,0.023145676000000,0.067826897000000,605,137,1.000010252000000,30.434263229999999,6.103077412000000,35.739345550000003,24.745183940000000,6.867071629000000,36.049461360000002,0,Unified Patch Reef Map v1.3,Lagoon,Coral Reef and Hardbottom,Individual Patch Reef, ,Algae, ,50%-90%,10%-50%,G_B_S_P_I,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,"Individual Patch Reef, Algae (Discontinuous)",478.036654994999992,12258.051341473525099,478.018189355462027,25.6434830607633,86,109.217488073947266,85,570561.511022967286408,,205122.423080116219353,9712.142844673799118,7426.9951172
30,1,0.000000000000000,143,LUT GRIS,SUBADULT,1,PRESENCE,8.750000000000000,REEF VISUAL CENSUS,281463.067500000004657,122789.281000000002678,1,599.913757300000043,-5.469764233000000,0.040951911000000,0.567829847000000,0.028757095000000,-0.003539510000000,-9,-8,1.000002146000000,30.439208980000000,5.985047340000000,35.510974879999999,22.924234389999999,6.935686111000000,36.234500890000000,0,Biscayne Bay NPS, ,Patch Reefs,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,233.867776749999990,3686.109102640936271,233.808735130229451,15.7654892602186,7158,87.123477358243832,6916,5588.065828904513182,,777756.953648580703884,2050.429582188958648,6736.9194336
31,1,0.000000000000000,144,LUT GRIS,SUBADULT,1,PRESENCE,2.000000000000000,REEF VISUAL CENSUS,245035.130999999993946,67581.270820000005187,1,2239.985106999999971,-3.977359056000000,0.051959012000000,0.712170422000000,0.296659470000000,0.140924379000000,-9,64,1.000013351000000,30.656183240000001,6.105751514000000,35.981792450000000,24.061700819999999,6.884733200000000,36.342754360000001,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Aggregated Patch Reef, , , , , ,G_B_S_AP,B_R_S__S,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Aggregated Patch Reef,Aggregated Patch Reef,220.049723655000008,2966.136058943741318,220.092626267205389,13.4767625306205,1295,35.174112298827666,1294,491891.319119913154282,,293504.947334287746344,,214.3502960
32,1,0.000000000000000,145,LUT GRIS,SUBADULT,1,PRESENCE,5.000000000000000,REEF VISUAL CENSUS,283573.740600000019185,125493.227799999993294,1,1833.624878000000081,-5.011262894000000,0.044677980000000,0.619376540000000,-0.027648926000000,0.053864405000000,605,64,1.000003219000000,30.449823380000002,6.017918110000000,35.510974879999999,23.072887420000001,6.938380241000000,36.587661740000001,0,Biscayne Bay NPS, ,Patch Reefs,Aggregated Patch Reefs, , , , , ,G_B_S_AP,B_A_B,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Aggregated Patch Reef,Aggregated Patch Reef,611.582020048000004,11731.119115081526616,611.481268990199965,19.1847562795411,6450,10.428854602213434,6112,17222.663341450512235,,768173.287047035759315,,3737.6955566
